cod_ncm;nom_categoria;desc_ncm;ignore1;ignore2;ignore3;ignore4;ignore5;
01012100;ANIMAIS VIVOS;01012100 - CAVALOS REPRODUTORES DE RAÇA PURA;;;;;;
01012900;ANIMAIS VIVOS;01012900 - OUTROS CAVALOS VIVOS;;;;;;
01013000;ANIMAIS VIVOS;01013000 - ASININOS VIVOS;;;;;;
01019000;ANIMAIS VIVOS;01019000 - OUTROS MUARES VIVOS;;;;;;
01022110;ANIMAIS VIVOS;01022110 - BOVINOS DOMÉST.REPROD.D/RAÇA PURA,PRENHES OU C/CRIA AO;;;;;;
01022190;ANIMAIS VIVOS;01022190 - OUTROS BOVINOS REPRODUTORES DE RAÇA PURA;;;;;;
01022911;ANIMAIS VIVOS;01022911 - OUTROS BOVINOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;;;;;;
01022919;ANIMAIS VIVOS;01022919 - OUTROS BOVINOS DOMÉSTICOS PARA REPRODUÇÃO;;;;;;
01022990;ANIMAIS VIVOS;01022990 - OUTROS BOVINOS DOMÉSTICOS VIVOS;;;;;;
01023110;ANIMAIS VIVOS;01023110 - BÚFALOS REPROD.DE RAÇA PURA, PRENHES OU C/CRIA AO PÉ;;;;;;
01023190;ANIMAIS VIVOS;01023190 - OUTROS BÚFALOS REPRODUTORES DE RAÇA PURA;;;;;;
01023911;ANIMAIS VIVOS;01023911 - OUTROS BÚFALOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;;;;;;
01023919;ANIMAIS VIVOS;01023919 - OUTROS BÚFALOS PARA REPRODUÇÃO;;;;;;
01023990;ANIMAIS VIVOS;01023990 - OUTROS BÚFALOS VIVOS;;;;;;
01029000;ANIMAIS VIVOS;01029000 - OUTROS ANIMAIS VIVOS DA ESPÉCIE BOVINA;;;;;;
01031000;ANIMAIS VIVOS;01031000 - REPRODUTORES DA ESPÉCIE SUÍNA DE RAÇA PURA;;;;;;
01039100;ANIMAIS VIVOS;01039100 - OUTROS SUÍNOS REPROD.PESO INFERIOR 50 KG;;;;;;
01039200;ANIMAIS VIVOS;01039200 - OUTS.SUÍNOS REPROD.PESO IGUAL OU SUP 50 KG;;;;;;
01041011;ANIMAIS VIVOS;01041011 - OVINOS REP.RAÇA PURA,PRENHE OU C/CRIA AO PÉ;;;;;;
01041019;ANIMAIS VIVOS;01041019 - OUTROS OVINOS REPRODUTORES DE RAÇA PURA;;;;;;
01041090;ANIMAIS VIVOS;01041090 - OUTROS ANIMAIS DA ESPÉCIES OVINAS;;;;;;
01042010;ANIMAIS VIVOS;01042010 - CAPRINOS REPRODUTORES DE RAÇA PURA;;;;;;
01042090;ANIMAIS VIVOS;01042090 - OUTS.CAPRINOS REPRODUTORES DE RAÇA PURA;;;;;;
01051110;ANIMAIS VIVOS;01051110 - GALO E GALINHA REP.RAÇA PUR/ HIBRI.Ñ SUP.185G;;;;;;
01051190;ANIMAIS VIVOS;01051190 - OUTROS GALOS E GALINHAS NÃO SUPERIOR A 185G;;;;;;
01051200;ANIMAIS VIVOS;01051200 - PERUAS E PERUS, PESO NÃO SUPERIOR A 185G;;;;;;
01051300;ANIMAIS VIVOS;01051300 - PATOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;;;;;;
01051400;ANIMAIS VIVOS;01051400 - GANSOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;;;;;;
01051500;ANIMAIS VIVOS;01051500 - GALINHAS D'ANGOLA (PINTADAS) DOMEST.VIVAS D/PESO INF.A;;;;;;
01059400;ANIMAIS VIVOS;01059400 - GALOS E GALINHAS DE PESO Ñ SUPERIOR A 185G;;;;;;
01059900;ANIMAIS VIVOS;01059900 - OUTRAS AVES DAS ESP.DOMÉSTICAS,PESO >185G;;;;;;
01061100;ANIMAIS VIVOS;01061100 - MAMÍFEROS PRIMATAS VIVOS;;;;;;
01061200;ANIMAIS VIVOS;"01061200 - BALEIAS,GOLF.,BOTOS;PEIXES-BOIS,DUDONG;OTÁRIAS,FOCAS,ET";;;;;;
01061300;ANIMAIS VIVOS;01061300 - CAMELOS E OUTROS CAMELÍDIOS VIVOS;;;;;;
01061400;ANIMAIS VIVOS;01061400 - COELHOS E LEBRES VIVOS;;;;;;
01061900;ANIMAIS VIVOS;01061900 - OUTROS MAMÍFEROS VIVOS;;;;;;
01062000;ANIMAIS VIVOS;01062000 - RÉPTEIS,SERPENTES E TARTAR.MARINHAS,VIVOS;;;;;;
01063100;ANIMAIS VIVOS;01063100 - AVES DE RAPINA VIVAS;;;;;;
01063200;ANIMAIS VIVOS;01063200 - PSITACIFORMES(PAP.PER.ARARAS,CACATUAS)VIVO;;;;;;
